표준_항목,표준_element_id,period_type,회사,CIK,동일_element_보유,fact_수
보험서비스결과,ifrs-full_InsuranceServiceResult,duration,한화생명,00113058,Y,61
보험서비스결과,ifrs-full_InsuranceServiceResult,duration,동양생명,00117267,Y,24
보험서비스결과,ifrs-full_InsuranceServiceResult,duration,삼성화재,00139214,Y,6
보험서비스결과,ifrs-full_InsuranceServiceResult,duration,현대해상,00164973,Y,17
보험서비스결과,ifrs-full_InsuranceServiceResult,duration,DB손해보험,00159102,Y,6
보험서비스결과,ifrs-full_InsuranceServiceResult,duration,한화손해보험,00135917,Y,6
보험서비스결과,ifrs-full_InsuranceServiceResult,duration,흥국화재,00103176,Y,3
보험금융손익,ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,미래에셋생명,00112332,Y,228
보험금융손익,ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,삼성생명,00126256,Y,144
보험금융손익,ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,한화생명,00113058,Y,38
보험금융손익,ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,동양생명,00117267,Y,140
보험금융손익,ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,삼성화재,00139214,Y,172
보험금융손익,ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,현대해상,00164973,Y,52
보험금융손익,ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,DB손해보험,00159102,Y,18
보험금융손익,ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,한화손해보험,00135917,Y,160
보험금융손익,ifrs-full_InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,흥국화재,00103176,Y,126
수취보험료_변동분,ifrs-full_IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractsIssued,duration,미래에셋생명,00112332,N,0
수취보험료_변동분,ifrs-full_IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractsIssued,duration,삼성생명,00126256,N,0
